year,candidate,signals,available,filled,fill_rate,resolved,wins,losses,wr_resolved,median_win_r,mean_win_r,expectancy_per_filled,expectancy_per_signal,total_r,profit_factor,max_drawdown_r,max_loss_streak,median_entry_improvement_event_r,median_risk_compression,median_target_rr,median_fill_delay_min,ge1_available,ge1_filled,ge1_resolve_win,ge1_missed_nofill,ge1_became_loss,survive_available,survive_filled,survive_missed_nofill,consumed_available,consumed_avoided_nofill,consumed_avoid_rate,local_only_available,local_only_avoided_nofill,local_only_avoid_rate,ambiguous_fill_bar,ambiguous_after_entry,unresolved_after_entry
2022,MARKET_SD1_CLOSE,88,88,88,1.0,85,47,38,0.5529411764705883,0.7843137254901902,0.7635108009596069,-0.024034004032937192,-0.024034004032937192,-2.114992354898473,0.9443423064500401,9.837090009782667,5,0.0,0.0,0.8030489395803448,0.0,51,51,47,0,4,68,68,0,20,0,0.0,17,0,0.0,0,0,3
2022,LIMIT_HALF_RETRACE,88,84,78,0.9285714285714286,76,39,37,0.5131578947368421,0.9111111111111179,0.8786400550461655,-0.03503894683589172,-0.031057248331813128,-2.7330378531995554,0.9261341120756879,8.959819370314653,5,0.05860056415395498,0.05245178940482059,0.8892881687132052,5.0,48,42,39,6,3,64,58,6,20,0,0.0,16,0,0.0,0,0,2
2022,LIMIT_TOUCH_ANCHOR,88,84,74,0.8809523809523809,72,35,37,0.4861111111111111,1.0,1.0,-0.02702702702702703,-0.022727272727272728,-2.0,0.9459459459459459,9.0,5,0.11720112830790996,0.10490357880964118,1.0,10.0,48,38,35,10,3,64,54,10,20,0,0.0,16,0,0.0,0,0,2
2022,LIMIT_ZONE_HIGH,88,69,53,0.7681159420289855,52,21,31,0.40384615384615385,1.125,1.223948353916961,-0.09994499184422298,-0.06019414281527068,-5.29708456774382,0.8291263042663285,10.663752860834128,5,0.2439560439560494,0.20292207792207706,1.1837088388214905,20.0,40,24,21,16,3,53,37,16,16,0,0.0,13,0,0.0,0,0,1
2022,LIMIT_REACTION_LOW,88,88,65,0.7386363636363636,62,25,37,0.4032258064516129,1.237762237762239,1.2718233702289417,-0.08006793452733013,-0.05914108800314155,-5.2044157442764565,0.8593401150195552,13.89254763731046,5,0.2496788230418569,0.2246328029375746,1.271105040058106,20.0,51,29,25,22,4,68,45,22,20,0,0.0,17,0,0.0,1,0,3
2023,MARKET_SD1_CLOSE,98,98,98,1.0,87,49,38,0.5632183908045977,0.7142857142857143,0.7180693089741174,-0.028720447553757553,-0.028720447553757553,-2.81460386026824,0.9259314773613618,11.206126270333698,4,0.0,0.0,0.7623270763547205,0.0,55,55,49,0,6,83,83,0,15,0,0.0,28,0,0.0,0,0,11
2023,LIMIT_HALF_RETRACE,98,97,93,0.9587628865979382,82,45,37,0.5487804878048781,0.8472553699284041,0.8481192729652045,0.012530831004668912,0.011891502892185796,1.165367283434208,1.031496413065789,12.145307909377,4,0.06765899864682015,0.05959475566150185,0.8732572877059567,5.0,55,51,45,4,6,83,79,4,14,0,0.0,28,0,0.0,0,0,11
2023,LIMIT_TOUCH_ANCHOR,98,97,81,0.8350515463917526,70,33,37,0.4714285714285714,1.0,1.0,-0.04938271604938271,-0.04081632653061224,-4.0,0.8918918918918919,14.0,4,0.1353179972936403,0.11918951132300382,1.0,10.0,55,39,33,16,6,83,67,16,14,0,0.0,28,0,0.0,0,0,11
2023,LIMIT_ZONE_HIGH,98,87,66,0.7586206896551724,58,25,33,0.43103448275862066,1.0992907801418326,1.2543992007032996,-0.024848787612386587,-0.016734897779770566,-1.6400199824175155,0.9503024247752269,12.971162406794445,3,0.2615012106537563,0.23222748815166472,1.2048780487804958,27.5,50,30,25,20,5,75,54,21,12,0,0.0,25,1,0.04,0,0,8
2023,LIMIT_REACTION_LOW,98,97,75,0.7731958762886598,64,27,37,0.421875,1.1651917404129974,1.577655005964788,0.07462246881399034,0.05710903225560486,5.596685161049276,1.15126176110944,15.456679069933081,4,0.22635135135135045,0.19469026548672042,1.1792452830188653,30.0,54,32,27,22,5,82,60,22,15,0,0.0,28,0,0.0,0,0,11
