decision,feature,feature_type,year,state,n,survive,survival_rate
TOUCH_CLOSE,TOUCH_CLOSE_ABOVE_ZONE,BINARY,2026,True,90,66,0.7333333333333333
PLUS5_CLOSE,p5_close_location,NUMERIC,2022,Q1,58,37,0.6379310344827587
PLUS5_CLOSE,p5_close_location,NUMERIC,2022,Q2,48,32,0.6666666666666666
PLUS5_CLOSE,p5_close_location,NUMERIC,2022,Q3,48,28,0.5833333333333334
PLUS5_CLOSE,p5_close_location,NUMERIC,2022,Q4,43,41,0.9534883720930233
PLUS5_CLOSE,p5_close_location,NUMERIC,2023,Q1,42,30,0.7142857142857143
PLUS5_CLOSE,p5_close_location,NUMERIC,2023,Q2,44,32,0.7272727272727273
PLUS5_CLOSE,p5_close_location,NUMERIC,2023,Q3,55,45,0.8181818181818182
PLUS5_CLOSE,p5_close_location,NUMERIC,2023,Q4,48,40,0.8333333333333334
PLUS5_CLOSE,p5_close_location,NUMERIC,2024,Q1,51,36,0.7058823529411765
PLUS5_CLOSE,p5_close_location,NUMERIC,2024,Q2,58,42,0.7241379310344828
PLUS5_CLOSE,p5_close_location,NUMERIC,2024,Q3,47,37,0.7872340425531915
PLUS5_CLOSE,p5_close_location,NUMERIC,2024,Q4,60,45,0.75
PLUS5_CLOSE,p5_close_location,NUMERIC,2025,Q1,61,36,0.5901639344262295
PLUS5_CLOSE,p5_close_location,NUMERIC,2025,Q2,54,37,0.6851851851851852
PLUS5_CLOSE,p5_close_location,NUMERIC,2025,Q3,65,54,0.8307692307692308
PLUS5_CLOSE,p5_close_location,NUMERIC,2025,Q4,52,47,0.9038461538461539
PLUS5_CLOSE,p5_close_location,NUMERIC,2026,Q1,39,24,0.6153846153846154
PLUS5_CLOSE,p5_close_location,NUMERIC,2026,Q2,27,20,0.7407407407407407
PLUS5_CLOSE,p5_close_location,NUMERIC,2026,Q3,42,33,0.7857142857142857
PLUS5_CLOSE,p5_close_location,NUMERIC,2026,Q4,26,21,0.8076923076923077
PLUS5_CLOSE,p5_close_r,NUMERIC,2022,Q1,60,42,0.7
PLUS5_CLOSE,p5_close_r,NUMERIC,2022,Q2,55,33,0.6
PLUS5_CLOSE,p5_close_r,NUMERIC,2022,Q3,37,26,0.7027027027027027
PLUS5_CLOSE,p5_close_r,NUMERIC,2022,Q4,45,37,0.8222222222222222
PLUS5_CLOSE,p5_close_r,NUMERIC,2023,Q1,40,24,0.6
PLUS5_CLOSE,p5_close_r,NUMERIC,2023,Q2,38,32,0.8421052631578947
PLUS5_CLOSE,p5_close_r,NUMERIC,2023,Q3,57,42,0.7368421052631579
PLUS5_CLOSE,p5_close_r,NUMERIC,2023,Q4,54,49,0.9074074074074074
PLUS5_CLOSE,p5_close_r,NUMERIC,2024,Q1,51,39,0.7647058823529411
PLUS5_CLOSE,p5_close_r,NUMERIC,2024,Q2,57,42,0.7368421052631579
PLUS5_CLOSE,p5_close_r,NUMERIC,2024,Q3,56,38,0.6785714285714286
PLUS5_CLOSE,p5_close_r,NUMERIC,2024,Q4,52,41,0.7884615384615384
PLUS5_CLOSE,p5_close_r,NUMERIC,2025,Q1,59,32,0.5423728813559322
PLUS5_CLOSE,p5_close_r,NUMERIC,2025,Q2,63,48,0.7619047619047619
PLUS5_CLOSE,p5_close_r,NUMERIC,2025,Q3,60,47,0.7833333333333333
PLUS5_CLOSE,p5_close_r,NUMERIC,2025,Q4,50,47,0.94
PLUS5_CLOSE,p5_close_r,NUMERIC,2026,Q1,35,20,0.5714285714285714
PLUS5_CLOSE,p5_close_r,NUMERIC,2026,Q2,32,23,0.71875
PLUS5_CLOSE,p5_close_r,NUMERIC,2026,Q3,32,27,0.84375
PLUS5_CLOSE,p5_close_r,NUMERIC,2026,Q4,35,28,0.8
PLUS5_CLOSE,p5_body_r,NUMERIC,2022,Q1,60,42,0.7
PLUS5_CLOSE,p5_body_r,NUMERIC,2022,Q2,56,33,0.5892857142857143
PLUS5_CLOSE,p5_body_r,NUMERIC,2022,Q3,36,26,0.7222222222222222
PLUS5_CLOSE,p5_body_r,NUMERIC,2022,Q4,45,37,0.8222222222222222
PLUS5_CLOSE,p5_body_r,NUMERIC,2023,Q1,40,24,0.6
PLUS5_CLOSE,p5_body_r,NUMERIC,2023,Q2,36,30,0.8333333333333334
PLUS5_CLOSE,p5_body_r,NUMERIC,2023,Q3,58,44,0.7586206896551724
PLUS5_CLOSE,p5_body_r,NUMERIC,2023,Q4,55,49,0.8909090909090909
PLUS5_CLOSE,p5_body_r,NUMERIC,2024,Q1,51,39,0.7647058823529411
PLUS5_CLOSE,p5_body_r,NUMERIC,2024,Q2,58,42,0.7241379310344828
PLUS5_CLOSE,p5_body_r,NUMERIC,2024,Q3,56,40,0.7142857142857143
PLUS5_CLOSE,p5_body_r,NUMERIC,2024,Q4,51,39,0.7647058823529411
PLUS5_CLOSE,p5_body_r,NUMERIC,2025,Q1,59,32,0.5423728813559322
PLUS5_CLOSE,p5_body_r,NUMERIC,2025,Q2,62,47,0.7580645161290323
PLUS5_CLOSE,p5_body_r,NUMERIC,2025,Q3,60,47,0.7833333333333333
PLUS5_CLOSE,p5_body_r,NUMERIC,2025,Q4,51,48,0.9411764705882353
PLUS5_CLOSE,p5_body_r,NUMERIC,2026,Q1,34,19,0.5588235294117647
PLUS5_CLOSE,p5_body_r,NUMERIC,2026,Q2,35,24,0.6857142857142857
PLUS5_CLOSE,p5_body_r,NUMERIC,2026,Q3,31,28,0.9032258064516129
PLUS5_CLOSE,p5_body_r,NUMERIC,2026,Q4,34,27,0.7941176470588235
PLUS5_CLOSE,p5_recovery_from_low_r,NUMERIC,2022,Q1,50,32,0.64
PLUS5_CLOSE,p5_recovery_from_low_r,NUMERIC,2022,Q2,52,33,0.6346153846153846
PLUS5_CLOSE,p5_recovery_from_low_r,NUMERIC,2022,Q3,42,35,0.8333333333333334
PLUS5_CLOSE,p5_recovery_from_low_r,NUMERIC,2022,Q4,53,38,0.7169811320754716
PLUS5_CLOSE,p5_recovery_from_low_r,NUMERIC,2023,Q1,46,32,0.6956521739130435
PLUS5_CLOSE,p5_recovery_from_low_r,NUMERIC,2023,Q2,43,34,0.7906976744186046
PLUS5_CLOSE,p5_recovery_from_low_r,NUMERIC,2023,Q3,44,35,0.7954545454545454
PLUS5_CLOSE,p5_recovery_from_low_r,NUMERIC,2023,Q4,56,46,0.8214285714285714
PLUS5_CLOSE,p5_recovery_from_low_r,NUMERIC,2024,Q1,55,39,0.7090909090909091
PLUS5_CLOSE,p5_recovery_from_low_r,NUMERIC,2024,Q2,55,38,0.6909090909090909
PLUS5_CLOSE,p5_recovery_from_low_r,NUMERIC,2024,Q3,64,46,0.71875
PLUS5_CLOSE,p5_recovery_from_low_r,NUMERIC,2024,Q4,42,37,0.8809523809523809
PLUS5_CLOSE,p5_recovery_from_low_r,NUMERIC,2025,Q1,71,53,0.7464788732394366
PLUS5_CLOSE,p5_recovery_from_low_r,NUMERIC,2025,Q2,55,40,0.7272727272727273
PLUS5_CLOSE,p5_recovery_from_low_r,NUMERIC,2025,Q3,62,46,0.7419354838709677
PLUS5_CLOSE,p5_recovery_from_low_r,NUMERIC,2025,Q4,44,35,0.7954545454545454
PLUS5_CLOSE,p5_recovery_from_low_r,NUMERIC,2026,Q1,39,26,0.6666666666666666
PLUS5_CLOSE,p5_recovery_from_low_r,NUMERIC,2026,Q2,27,21,0.7777777777777778
PLUS5_CLOSE,p5_recovery_from_low_r,NUMERIC,2026,Q3,31,24,0.7741935483870968
PLUS5_CLOSE,p5_recovery_from_low_r,NUMERIC,2026,Q4,37,27,0.7297297297297297
PLUS5_CLOSE,p5_high_r,NUMERIC,2022,Q1,50,31,0.62
PLUS5_CLOSE,p5_high_r,NUMERIC,2022,Q2,51,38,0.7450980392156863
PLUS5_CLOSE,p5_high_r,NUMERIC,2022,Q3,48,36,0.75
PLUS5_CLOSE,p5_high_r,NUMERIC,2022,Q4,48,33,0.6875
PLUS5_CLOSE,p5_high_r,NUMERIC,2023,Q1,43,28,0.6511627906976745
PLUS5_CLOSE,p5_high_r,NUMERIC,2023,Q2,42,31,0.7380952380952381
PLUS5_CLOSE,p5_high_r,NUMERIC,2023,Q3,49,41,0.8367346938775511
PLUS5_CLOSE,p5_high_r,NUMERIC,2023,Q4,55,47,0.8545454545454545
PLUS5_CLOSE,p5_high_r,NUMERIC,2024,Q1,58,44,0.7586206896551724
PLUS5_CLOSE,p5_high_r,NUMERIC,2024,Q2,57,39,0.6842105263157895
PLUS5_CLOSE,p5_high_r,NUMERIC,2024,Q3,53,38,0.7169811320754716
PLUS5_CLOSE,p5_high_r,NUMERIC,2024,Q4,48,39,0.8125
PLUS5_CLOSE,p5_high_r,NUMERIC,2025,Q1,71,52,0.7323943661971831
PLUS5_CLOSE,p5_high_r,NUMERIC,2025,Q2,63,48,0.7619047619047619
PLUS5_CLOSE,p5_high_r,NUMERIC,2025,Q3,48,33,0.6875
PLUS5_CLOSE,p5_high_r,NUMERIC,2025,Q4,50,41,0.82
PLUS5_CLOSE,p5_high_r,NUMERIC,2026,Q1,30,17,0.5666666666666667
PLUS5_CLOSE,p5_high_r,NUMERIC,2026,Q2,36,26,0.7222222222222222
PLUS5_CLOSE,p5_high_r,NUMERIC,2026,Q3,30,25,0.8333333333333334
PLUS5_CLOSE,p5_high_r,NUMERIC,2026,Q4,38,30,0.7894736842105263
PLUS15_CLOSE,p15_close_location,NUMERIC,2022,Q1,46,26,0.5652173913043478
PLUS15_CLOSE,p15_close_location,NUMERIC,2022,Q2,49,31,0.6326530612244898
PLUS15_CLOSE,p15_close_location,NUMERIC,2022,Q3,41,36,0.8780487804878049
PLUS15_CLOSE,p15_close_location,NUMERIC,2022,Q4,37,27,0.7297297297297297
PLUS15_CLOSE,p15_close_location,NUMERIC,2023,Q1,35,26,0.7428571428571429
PLUS15_CLOSE,p15_close_location,NUMERIC,2023,Q2,38,29,0.7631578947368421
PLUS15_CLOSE,p15_close_location,NUMERIC,2023,Q3,43,29,0.6744186046511628
PLUS15_CLOSE,p15_close_location,NUMERIC,2023,Q4,49,45,0.9183673469387755
PLUS15_CLOSE,p15_close_location,NUMERIC,2024,Q1,52,28,0.5384615384615384
PLUS15_CLOSE,p15_close_location,NUMERIC,2024,Q2,46,32,0.6956521739130435
PLUS15_CLOSE,p15_close_location,NUMERIC,2024,Q3,49,42,0.8571428571428571
PLUS15_CLOSE,p15_close_location,NUMERIC,2024,Q4,47,40,0.851063829787234
PLUS15_CLOSE,p15_close_location,NUMERIC,2025,Q1,58,37,0.6379310344827587
PLUS15_CLOSE,p15_close_location,NUMERIC,2025,Q2,48,33,0.6875
PLUS15_CLOSE,p15_close_location,NUMERIC,2025,Q3,52,44,0.8461538461538461
PLUS15_CLOSE,p15_close_location,NUMERIC,2025,Q4,42,39,0.9285714285714286
PLUS15_CLOSE,p15_close_location,NUMERIC,2026,Q1,34,24,0.7058823529411765
PLUS15_CLOSE,p15_close_location,NUMERIC,2026,Q2,25,15,0.6
PLUS15_CLOSE,p15_close_location,NUMERIC,2026,Q3,31,25,0.8064516129032258
PLUS15_CLOSE,p15_close_location,NUMERIC,2026,Q4,17,11,0.6470588235294118
PLUS15_CLOSE,p15_body_r,NUMERIC,2022,Q1,52,31,0.5961538461538461
PLUS15_CLOSE,p15_body_r,NUMERIC,2022,Q2,42,27,0.6428571428571429
PLUS15_CLOSE,p15_body_r,NUMERIC,2022,Q3,46,36,0.782608695652174
PLUS15_CLOSE,p15_body_r,NUMERIC,2022,Q4,33,26,0.7878787878787878
PLUS15_CLOSE,p15_body_r,NUMERIC,2023,Q1,36,25,0.6944444444444444
PLUS15_CLOSE,p15_body_r,NUMERIC,2023,Q2,38,26,0.6842105263157895
PLUS15_CLOSE,p15_body_r,NUMERIC,2023,Q3,39,32,0.8205128205128205
PLUS15_CLOSE,p15_body_r,NUMERIC,2023,Q4,52,46,0.8846153846153846
PLUS15_CLOSE,p15_body_r,NUMERIC,2024,Q1,45,26,0.5777777777777777
PLUS15_CLOSE,p15_body_r,NUMERIC,2024,Q2,53,36,0.6792452830188679
PLUS15_CLOSE,p15_body_r,NUMERIC,2024,Q3,48,37,0.7708333333333334
PLUS15_CLOSE,p15_body_r,NUMERIC,2024,Q4,48,43,0.8958333333333334
PLUS15_CLOSE,p15_body_r,NUMERIC,2025,Q1,51,27,0.5294117647058824
PLUS15_CLOSE,p15_body_r,NUMERIC,2025,Q2,46,34,0.7391304347826086
PLUS15_CLOSE,p15_body_r,NUMERIC,2025,Q3,57,49,0.8596491228070176
