decision,feature,feature_type,dev_survive,dev_consumed,dev_effect,dev_n,ref_survive,ref_consumed,ref_effect,ref_n,direction_consistent,robust_score
PLUS15_CLOSE,p15_green_rate,NUMERIC,0.6666666666666666,0.3333333333333333,1.0,532,0.6666666666666666,0.3333333333333333,1.0,307,True,1.0
PLUS15_CLOSE,p15_close_location,NUMERIC,0.6418918918918379,0.42857142857137887,0.4204201791751397,532,0.5970064174466266,0.3571428571429099,0.4727323362737318,307,True,0.4204201791751397
PLUS15_CLOSE,p15_body_r,NUMERIC,0.04093567251463232,-0.06304347826086791,0.38376929825905515,532,0.04542494969130478,-0.15217391304347977,0.7293036760056267,307,True,0.38376929825905515
PLUS15_CLOSE,p15_close_r,NUMERIC,0.03906249999999979,-0.06086956521738545,0.37015404779912436,532,0.04485192454581358,-0.14906832298137082,0.718291615571533,307,True,0.37015404779912436
PLUS15_CLOSE,p15_close_above_anchor_rate,NUMERIC,0.6666666666666666,0.3333333333333333,0.3333333333333333,532,0.6666666666666666,0.3333333333333333,0.3333333333333333,307,True,0.3333333333333333
PLUS15_CLOSE,p15_max_close_r,NUMERIC,0.09629629629629333,0.03667355371900424,0.31879983102766757,532,0.09926182585116343,0.0026954177897549345,0.5163357678996182,307,True,0.31879983102766757
PLUS15_CLOSE,p15_min_close_r,NUMERIC,-0.06010230179027077,-0.12740899357602253,0.2841639928454205,532,-0.037167233956232754,-0.17243549402139782,0.5710928269617777,307,True,0.2841639928454205
PLUS15_CLOSE,p15_high_r,NUMERIC,0.1654829545454583,0.11794228356336277,0.2610000034734817,532,0.15487044356609497,0.0995475113122296,0.30372489937847297,307,True,0.2610000034734817
PLUS15_CLOSE,p15_path_efficiency,NUMERIC,0.3018867924528231,-0.3599999999999636,0.37794555373854105,532,0.0946428571428049,-0.34545454545458054,0.25130106601338054,307,True,0.25130106601338054
PLUS15_CLOSE,p15_close_slope_r_per_bar,NUMERIC,0.01706231454006313,-0.026976160602250415,0.38537533159461906,532,0.005863930556452378,-0.018965517241368014,0.21727947317600133,307,True,0.21727947317600133
PLUS15_CLOSE,CLOSE15_ABOVE_ANCHOR,BINARY,0.8216783216783217,0.6341463414634146,0.18753198021490702,532,0.85625,0.6190476190476191,0.2372023809523809,307,True,0.18753198021490702
PLUS15_CLOSE,p15_low_r,NUMERIC,-0.15384615384613942,-0.20000000000000465,0.18623030283796976,532,-0.11488919077657944,-0.27356746765247936,0.6402652437218667,307,True,0.18623030283796976
PLUS15_CLOSE,CLOSE15_BREAK_TOUCH_HIGH,BINARY,0.8793103448275862,0.7172995780590717,0.16201076676851445,532,0.9069767441860465,0.7159090909090909,0.19106765327695552,307,True,0.16201076676851445
PLUS15_CLOSE,ALL3_CLOSES_ABOVE_ANCHOR,BINARY,0.8481012658227848,0.6871657754010695,0.1609354904217153,532,0.900990099009901,0.6650485436893204,0.2359415553205806,307,True,0.1609354904217153
PLUS15_CLOSE,CLOSE15_ABOVE_ZONE,BINARY,0.7831715210355987,0.6681614349775785,0.11501008605802021,532,0.8272251308900523,0.603448275862069,0.2237768550279834,307,True,0.11501008605802021
PLUS15_CLOSE,RECLAIM_ZONE_THEN_HOLD,BINARY,0.7857142857142857,0.6785714285714286,0.1071428571428571,532,0.8373493975903614,0.6312056737588653,0.20614372383149615,307,True,0.1071428571428571
PLUS15_CLOSE,BREAK_TOUCH_HIGH_WITHIN15,BINARY,0.7901234567901234,0.7250554323725056,0.06506802441761783,532,0.9090909090909091,0.7063492063492064,0.20274170274170267,307,True,0.06506802441761783
PLUS15_CLOSE,ALL3_CLOSES_ABOVE_ZONE,BINARY,0.7666666666666667,0.708904109589041,0.057762557077625676,532,0.8287671232876712,0.6645962732919255,0.16417084999574572,307,True,0.057762557077625676
PLUS15_CLOSE,p15_range_r,NUMERIC,0.3644444444444414,0.36315789473684523,0.004117628444381809,532,0.2968835999924185,0.38461538461539807,-0.2807873568405867,307,False,0.0
PLUS15_CLOSE,p15_close_above_zone_rate,NUMERIC,0.6666666666666666,0.6666666666666666,0.0,532,1.0,0.3333333333333333,0.6666666666666667,307,False,0.0
PLUS5_CLOSE,p5_close_location,NUMERIC,0.5870967741935451,0.46428571428571647,0.21274356834424926,602,0.6236771898621594,0.3271317564097915,0.5137007508623193,366,True,0.21274356834424926
PLUS5_CLOSE,p5_close_r,NUMERIC,0.022222222222227275,-0.00584795321636902,0.14000392188795766,602,0.02214047830139261,-0.07129668097677702,0.4660308866836099,366,True,0.14000392188795766
PLUS5_CLOSE,p5_body_r,NUMERIC,0.022900763358779455,-0.002232142857140832,0.12282441321128322,602,0.021201149081332058,-0.07196602501961444,0.4553076111131783,366,True,0.12282441321128322
PLUS5_CLOSE,p5_recovery_from_low_r,NUMERIC,0.13859275053304593,0.10563380281689896,0.17251196413009512,602,0.1197763306460485,0.1036360246130803,0.08448072794642232,366,True,0.08448072794642232
PLUS5_CLOSE,p5_high_r,NUMERIC,0.10923076923076608,0.09171597633137855,0.1127148429561313,602,0.09260145420911008,0.08062639340447236,0.07706440525665954,366,True,0.07706440525665954
PLUS5_CLOSE,p5_close_vs_zone_high_zone_r,NUMERIC,0.053571428571430386,0.02568807339449818,0.07412179030780806,602,0.0880503144654244,-0.003875911322724342,0.24436572960539404,366,True,0.07412179030780806
PLUS5_CLOSE,CLOSE5_BULLISH,BINARY,0.765625,0.7092198581560284,0.05640514184397161,602,0.8542713567839196,0.6107784431137725,0.24349291367014714,366,True,0.05640514184397161
PLUS5_CLOSE,CLOSE5_ABOVE_ANCHOR,BINARY,0.7616099071207431,0.7132616487455197,0.048348258375223385,602,0.8542713567839196,0.6107784431137725,0.24349291367014714,366,True,0.048348258375223385
PLUS5_CLOSE,CLOSE5_BREAK_TOUCH_HIGH,BINARY,0.7659574468085106,0.736936936936937,0.029020509871573674,602,0.967741935483871,0.7223880597014926,0.24535387578237844,366,True,0.029020509871573674
PLUS5_CLOSE,CLOSE5_ABOVE_ZONE,BINARY,0.7492877492877493,0.7250996015936255,0.024188147694123807,602,0.7909090909090909,0.6712328767123288,0.11967621419676211,366,True,0.024188147694123807
PLUS5_CLOSE,RETEST5_ZONE_RECLAIM,BINARY,0.7862068965517242,0.7242888402625821,0.06191805628914204,602,0.7529411764705882,0.7402135231316725,0.012727653338915679,366,True,0.012727653338915679
PLUS5_CLOSE,LOW5_HOLDS_TOUCH_LOW,BINARY,0.7424242424242424,0.7330097087378641,0.009414533686378346,602,0.8034188034188035,0.6363636363636364,0.1670551670551671,366,True,0.009414533686378346
PLUS5_CLOSE,p5_low_r,NUMERIC,-0.1102941176470526,-0.09542743538765548,-0.08297102630567987,602,-0.08806372817091843,-0.17521029090736762,0.4863653922976038,366,False,0.0
PLUS5_CLOSE,p5_range_r,NUMERIC,0.25907384230287744,0.24436090225563348,0.060941860469970764,602,0.216547971312513,0.2756011873658919,-0.24460188388398862,366,False,0.0
TOUCH_CLOSE,TOUCH_SWEEP_FLOOR_RECLAIM,BINARY,0.8387096774193549,0.7571884984025559,0.081521179016799,657,0.95,0.7571801566579635,0.1928198433420365,403,True,0.081521179016799
TOUCH_CLOSE,touch_upper_wick_event_r,NUMERIC,0.05076478558418509,0.04263565891473423,0.07853686733070854,657,0.049881235154403854,0.0406571218795926,0.08911571807949407,403,True,0.07853686733070854
TOUCH_CLOSE,touch_penetration_zone_r,NUMERIC,0.16293161488890928,0.12268518518517744,0.14111518956420951,657,0.14153846153845523,0.12205571391587107,0.06831193833170467,403,True,0.06831193833170467
TOUCH_CLOSE,TOUCH_CLOSE_ABOVE_ZONE,BINARY,0.7525510204081632,0.7735849056603774,-0.02103388525221417,657,0.7530364372469636,0.7884615384615384,-0.03542510121457487,403,True,0.02103388525221417
TOUCH_CLOSE,touch_floor_sweep_depth_zone_r,NUMERIC,0.0,0.0,,657,0.0,0.0,,403,False,0.0
TOUCH_CLOSE,touch_close_vs_zone_high_zone_r,NUMERIC,0.025031328320807483,0.03962703962705692,-0.05375890785219107,657,0.052412150089338735,0.03300452663938905,0.07148213737477423,403,False,0.0
TOUCH_CLOSE,touch_close_vs_floor_zone_r,NUMERIC,1.0250313283208075,1.0396270396270568,-0.05375890785219081,657,1.0524121500893386,1.033004526639389,0.07148213737477396,403,False,0.0
TOUCH_CLOSE,touch_recovery_from_low_event_r,NUMERIC,0.19934640522876249,0.1747126436781602,0.07367397836646342,657,0.18720379146918448,0.20659162356759272,-0.05798459645136212,403,False,0.0
TOUCH_CLOSE,touch_lower_wick_event_r,NUMERIC,0.1854397750351509,0.1598877980364638,0.07960399166594818,657,0.17611940298508294,0.20659162356759272,-0.09493239577578202,403,False,0.0
TOUCH_CLOSE,touch_body_event_r,NUMERIC,-0.3470872607132375,-0.29183884297520524,-0.08979435658189684,657,-0.2871287128712842,-0.375437109667353,0.14352620393005777,403,False,0.0
TOUCH_CLOSE,touch_range_event_r,NUMERIC,0.6521861961057004,0.5548172757475047,0.12262617219828024,657,0.5909090909090943,0.6871840661089728,-0.12124846043085193,403,False,0.0
TOUCH_CLOSE,touch_close_location_in_candle,NUMERIC,0.32554240631165066,0.33175914994096734,-0.01583804294730612,657,0.3576195773081233,0.27515979546180774,0.2100780801300295,403,False,0.0
TOUCH_CLOSE,TOUCH_BULLISH,BINARY,0.7093023255813954,0.7688266199649737,-0.05952429438357831,657,0.7962962962962963,0.7621776504297995,0.03411864586649682,403,False,0.0
