decision,period,n,eligible,eligible_survive,eligible_consumed,eligible_survival_rate,too_fast_survive,too_fast_consumed,ambiguous_resolution,decision_censored
TOUCH_CLOSE,DEV,657,657,500,157,0.76103500761035,0,0,0,0
TOUCH_CLOSE,REF,403,403,309,94,0.7667493796526055,0,0,0,0
PLUS5_CLOSE,DEV,657,602,445,157,0.739202657807309,55,0,0,0
PLUS5_CLOSE,REF,403,366,272,94,0.7431693989071039,37,0,0,0
PLUS15_CLOSE,DEV,657,532,391,141,0.7349624060150376,109,16,0,0
PLUS15_CLOSE,REF,403,307,228,79,0.742671009771987,81,15,0,0
