period,touch_state,plus5_state,plus15_state,final_label,n
DEV,TOUCH_CLOSE_ABOVE_ZONE,P5_CLOSE_BELOW_FLOOR_EARLY,TOO_FAST_CONSUMED,CONSUMED,1
DEV,TOUCH_CLOSE_ABOVE_ZONE,P5_CLOSE_IN_ZONE,P15_MIXED_ZONE_ACCEPTANCE,CONSUMED,5
DEV,TOUCH_CLOSE_ABOVE_ZONE,P5_CLOSE_IN_ZONE,P15_MIXED_ZONE_ACCEPTANCE,SURVIVE,36
DEV,TOUCH_CLOSE_ABOVE_ZONE,P5_CLOSE_IN_ZONE,P15_NO_CLOSE_ABOVE_ZONE,CONSUMED,11
DEV,TOUCH_CLOSE_ABOVE_ZONE,P5_CLOSE_IN_ZONE,P15_NO_CLOSE_ABOVE_ZONE,SURVIVE,23
DEV,TOUCH_CLOSE_ABOVE_ZONE,P5_CLOSE_IN_ZONE,TOO_FAST_CONSUMED,CONSUMED,1
DEV,TOUCH_CLOSE_ABOVE_ZONE,P5_HOLD_ABOVE_ZONE,P15_ALL3_ABOVE_ZONE,CONSUMED,44
DEV,TOUCH_CLOSE_ABOVE_ZONE,P5_HOLD_ABOVE_ZONE,P15_ALL3_ABOVE_ZONE,SURVIVE,117
DEV,TOUCH_CLOSE_ABOVE_ZONE,P5_HOLD_ABOVE_ZONE,P15_MIXED_ZONE_ACCEPTANCE,CONSUMED,12
DEV,TOUCH_CLOSE_ABOVE_ZONE,P5_HOLD_ABOVE_ZONE,P15_MIXED_ZONE_ACCEPTANCE,SURVIVE,15
DEV,TOUCH_CLOSE_ABOVE_ZONE,P5_HOLD_ABOVE_ZONE,TOO_FAST_CONSUMED,CONSUMED,1
DEV,TOUCH_CLOSE_ABOVE_ZONE,P5_HOLD_ABOVE_ZONE,TOO_FAST_SURVIVE,SURVIVE,17
DEV,TOUCH_CLOSE_ABOVE_ZONE,P5_RECLAIM_ABOVE_ZONE,P15_ALL3_ABOVE_ZONE,CONSUMED,10
DEV,TOUCH_CLOSE_ABOVE_ZONE,P5_RECLAIM_ABOVE_ZONE,P15_ALL3_ABOVE_ZONE,SURVIVE,43
DEV,TOUCH_CLOSE_ABOVE_ZONE,P5_RECLAIM_ABOVE_ZONE,P15_MIXED_ZONE_ACCEPTANCE,CONSUMED,9
DEV,TOUCH_CLOSE_ABOVE_ZONE,P5_RECLAIM_ABOVE_ZONE,P15_MIXED_ZONE_ACCEPTANCE,SURVIVE,21
DEV,TOUCH_CLOSE_ABOVE_ZONE,P5_RECLAIM_ABOVE_ZONE,TOO_FAST_CONSUMED,CONSUMED,3
DEV,TOUCH_CLOSE_ABOVE_ZONE,P5_RECLAIM_ABOVE_ZONE,TOO_FAST_SURVIVE,SURVIVE,3
DEV,TOUCH_CLOSE_ABOVE_ZONE,TOO_FAST_SURVIVE,TOO_FAST_SURVIVE,SURVIVE,20
DEV,TOUCH_CLOSE_IN_ZONE,P5_CLOSE_BELOW_FLOOR_EARLY,P15_NO_CLOSE_ABOVE_ZONE,CONSUMED,1
DEV,TOUCH_CLOSE_IN_ZONE,P5_CLOSE_BELOW_FLOOR_EARLY,P15_NO_CLOSE_ABOVE_ZONE,SURVIVE,2
DEV,TOUCH_CLOSE_IN_ZONE,P5_CLOSE_BELOW_FLOOR_EARLY,TOO_FAST_CONSUMED,CONSUMED,2
DEV,TOUCH_CLOSE_IN_ZONE,P5_CLOSE_BELOW_FLOOR_EARLY,TOO_FAST_SURVIVE,SURVIVE,1
DEV,TOUCH_CLOSE_IN_ZONE,P5_CLOSE_IN_ZONE,P15_MIXED_ZONE_ACCEPTANCE,CONSUMED,5
DEV,TOUCH_CLOSE_IN_ZONE,P5_CLOSE_IN_ZONE,P15_MIXED_ZONE_ACCEPTANCE,SURVIVE,23
DEV,TOUCH_CLOSE_IN_ZONE,P5_CLOSE_IN_ZONE,P15_NO_CLOSE_ABOVE_ZONE,CONSUMED,36
DEV,TOUCH_CLOSE_IN_ZONE,P5_CLOSE_IN_ZONE,P15_NO_CLOSE_ABOVE_ZONE,SURVIVE,72
DEV,TOUCH_CLOSE_IN_ZONE,P5_CLOSE_IN_ZONE,TOO_FAST_CONSUMED,CONSUMED,7
DEV,TOUCH_CLOSE_IN_ZONE,P5_CLOSE_IN_ZONE,TOO_FAST_SURVIVE,SURVIVE,25
DEV,TOUCH_CLOSE_IN_ZONE,P5_RECLAIM_ABOVE_ZONE,P15_ALL3_ABOVE_ZONE,CONSUMED,2
DEV,TOUCH_CLOSE_IN_ZONE,P5_RECLAIM_ABOVE_ZONE,P15_ALL3_ABOVE_ZONE,SURVIVE,24
DEV,TOUCH_CLOSE_IN_ZONE,P5_RECLAIM_ABOVE_ZONE,P15_MIXED_ZONE_ACCEPTANCE,CONSUMED,6
