period,candidate,target_source,n
DEV,R1_HALF_TP1_HALF_TP2_BE,15M_PIVOT_HIGH,1
DEV,R1_HALF_TP1_HALF_TP2_BE,15M_PIVOT_HIGH+EXPANSION_HIGH,25
DEV,R1_HALF_TP1_HALF_TP2_BE,15M_PIVOT_HIGH+EXPANSION_HIGH+H1_PIVOT_HIGH,29
DEV,R1_HALF_TP1_HALF_TP2_BE,15M_PIVOT_HIGH+H1_PIVOT_HIGH,3
DEV,R1_HALF_TP1_HALF_TP2_BE,TP1+TP2,382
DEV,R2_HALF_TP1_HALF_MAJOR_BE,15M_PIVOT_HIGH,1
DEV,R2_HALF_TP1_HALF_MAJOR_BE,15M_PIVOT_HIGH+EXPANSION_HIGH,83
DEV,R2_HALF_TP1_HALF_MAJOR_BE,15M_PIVOT_HIGH+EXPANSION_HIGH+H1_PIVOT_HIGH,33
DEV,R2_HALF_TP1_HALF_MAJOR_BE,15M_PIVOT_HIGH+H1_PIVOT_HIGH,19
DEV,R2_HALF_TP1_HALF_MAJOR_BE,H1_PIVOT_HIGH,2
DEV,R2_HALF_TP1_HALF_MAJOR_BE,TP1+MAJOR,302
DEV,T1_FULL_TP1,15M_PIVOT_HIGH,303
DEV,T1_FULL_TP1,15M_PIVOT_HIGH+EXPANSION_HIGH,83
DEV,T1_FULL_TP1,15M_PIVOT_HIGH+EXPANSION_HIGH+H1_PIVOT_HIGH,33
DEV,T1_FULL_TP1,15M_PIVOT_HIGH+H1_PIVOT_HIGH,19
DEV,T1_FULL_TP1,H1_PIVOT_HIGH,2
DEV,T2_FULL_TP2_FALLBACK_TP1,15M_PIVOT_HIGH,244
DEV,T2_FULL_TP2_FALLBACK_TP1,15M_PIVOT_HIGH+EXPANSION_HIGH,74
DEV,T2_FULL_TP2_FALLBACK_TP1,15M_PIVOT_HIGH+EXPANSION_HIGH+H1_PIVOT_HIGH,56
DEV,T2_FULL_TP2_FALLBACK_TP1,15M_PIVOT_HIGH+H1_PIVOT_HIGH,53
DEV,T2_FULL_TP2_FALLBACK_TP1,H1_PIVOT_HIGH,13
DEV,T3_FULL_TP3_FALLBACK_HIGHEST,15M_PIVOT_HIGH,205
DEV,T3_FULL_TP3_FALLBACK_HIGHEST,15M_PIVOT_HIGH+EXPANSION_HIGH,67
DEV,T3_FULL_TP3_FALLBACK_HIGHEST,15M_PIVOT_HIGH+EXPANSION_HIGH+H1_PIVOT_HIGH,74
DEV,T3_FULL_TP3_FALLBACK_HIGHEST,15M_PIVOT_HIGH+H1_PIVOT_HIGH,77
DEV,T3_FULL_TP3_FALLBACK_HIGHEST,H1_PIVOT_HIGH,17
DEV,T4_FULL_EXPANSION_FALLBACK_TP1,15M_PIVOT_HIGH,11
DEV,T4_FULL_EXPANSION_FALLBACK_TP1,15M_PIVOT_HIGH+H1_PIVOT_HIGH,6
DEV,T4_FULL_EXPANSION_FALLBACK_TP1,EXPANSION_HIGH,423
DEV,T5_FULL_H1_NEAREST_FALLBACK_TP1,15M_PIVOT_HIGH,10
DEV,T5_FULL_H1_NEAREST_FALLBACK_TP1,15M_PIVOT_HIGH+EXPANSION_HIGH,26
DEV,T5_FULL_H1_NEAREST_FALLBACK_TP1,H1_PIVOT_HIGH,404
DEV,T6_FULL_MAJOR_NEAREST_FALLBACK_TP1,15M_PIVOT_HIGH,1
DEV,T6_FULL_MAJOR_NEAREST_FALLBACK_TP1,MAJOR_EXPANSION_OR_H1,439
REF,R1_HALF_TP1_HALF_TP2_BE,15M_PIVOT_HIGH+EXPANSION_HIGH,12
REF,R1_HALF_TP1_HALF_TP2_BE,15M_PIVOT_HIGH+EXPANSION_HIGH+H1_PIVOT_HIGH,17
REF,R1_HALF_TP1_HALF_TP2_BE,15M_PIVOT_HIGH+H1_PIVOT_HIGH,2
REF,R1_HALF_TP1_HALF_TP2_BE,TP1+TP2,241
REF,R2_HALF_TP1_HALF_MAJOR_BE,15M_PIVOT_HIGH+EXPANSION_HIGH,41
REF,R2_HALF_TP1_HALF_MAJOR_BE,15M_PIVOT_HIGH+EXPANSION_HIGH+H1_PIVOT_HIGH,17
REF,R2_HALF_TP1_HALF_MAJOR_BE,15M_PIVOT_HIGH+H1_PIVOT_HIGH,13
REF,R2_HALF_TP1_HALF_MAJOR_BE,H1_PIVOT_HIGH,1
REF,R2_HALF_TP1_HALF_MAJOR_BE,TP1+MAJOR,200
REF,T1_FULL_TP1,15M_PIVOT_HIGH,200
REF,T1_FULL_TP1,15M_PIVOT_HIGH+EXPANSION_HIGH,41
REF,T1_FULL_TP1,15M_PIVOT_HIGH+EXPANSION_HIGH+H1_PIVOT_HIGH,17
REF,T1_FULL_TP1,15M_PIVOT_HIGH+H1_PIVOT_HIGH,13
REF,T1_FULL_TP1,H1_PIVOT_HIGH,1
REF,T2_FULL_TP2_FALLBACK_TP1,15M_PIVOT_HIGH,163
REF,T2_FULL_TP2_FALLBACK_TP1,15M_PIVOT_HIGH+EXPANSION_HIGH,42
REF,T2_FULL_TP2_FALLBACK_TP1,15M_PIVOT_HIGH+EXPANSION_HIGH+H1_PIVOT_HIGH,35
REF,T2_FULL_TP2_FALLBACK_TP1,15M_PIVOT_HIGH+H1_PIVOT_HIGH,28
REF,T2_FULL_TP2_FALLBACK_TP1,H1_PIVOT_HIGH,4
REF,T3_FULL_TP3_FALLBACK_HIGHEST,15M_PIVOT_HIGH,148
REF,T3_FULL_TP3_FALLBACK_HIGHEST,15M_PIVOT_HIGH+EXPANSION_HIGH,34
REF,T3_FULL_TP3_FALLBACK_HIGHEST,15M_PIVOT_HIGH+EXPANSION_HIGH+H1_PIVOT_HIGH,44
REF,T3_FULL_TP3_FALLBACK_HIGHEST,15M_PIVOT_HIGH+H1_PIVOT_HIGH,39
REF,T3_FULL_TP3_FALLBACK_HIGHEST,H1_PIVOT_HIGH,7
REF,T4_FULL_EXPANSION_FALLBACK_TP1,15M_PIVOT_HIGH,3
REF,T4_FULL_EXPANSION_FALLBACK_TP1,15M_PIVOT_HIGH+H1_PIVOT_HIGH,2
