year,candidate,plans,resolved,wins,losses,wr,median_win_r,expectancy_r,total_r,profit_factor,max_loss_streak,max_drawdown_r,ambiguous,partial_open,baseline_wins,baseline_win_still_win,baseline_win_to_loss,baseline_losses,baseline_loss_to_win
2022,T1_FULL_TP1,151,151,116,35,0.7682119205298014,0.28207423320207736,0.14097014016133655,21.28649116436182,1.608185461838909,5,7.5568300880379855,0,0,116,116,0,35,0
2022,T2_FULL_TP2_FALLBACK_TP1,151,150,99,51,0.66,0.4749034749034813,0.10156507515683431,15.234761273525148,1.2987208092848068,7,8.419847328244275,1,0,116,99,16,35,0
2022,T3_FULL_TP3_FALLBACK_HIGHEST,151,150,88,62,0.5866666666666667,0.5746291814063194,0.05099769463435388,7.649654195153082,1.1233815192766627,7,8.419847328244275,1,0,116,88,27,35,0
2022,T4_FULL_EXPANSION_FALLBACK_TP1,151,151,87,64,0.5761589403973509,0.644444444444446,0.07552973387156767,11.404989814606719,1.1782029658532298,7,8.419847328244275,0,0,116,87,29,35,0
2022,T5_FULL_H1_NEAREST_FALLBACK_TP1,151,151,83,68,0.5496688741721855,0.7492537313432758,0.04725255189082191,7.135135335514109,1.1049284608163839,7,11.498009674044965,0,0,116,83,33,35,0
2022,T6_FULL_MAJOR_NEAREST_FALLBACK_TP1,151,151,92,59,0.609271523178808,0.5456397660818724,0.07208400691628308,10.884685044358745,1.1844861871925214,7,8.419847328244275,0,0,116,92,24,35,0
2022,R1_HALF_TP1_HALF_TP2_BE,151,148,113,35,0.7635135135135135,0.22967479674796712,0.12400674995947739,18.352998994002654,1.5243713998286472,5,7.778415044018994,3,0,116,113,0,35,0
2022,R2_HALF_TP1_HALF_MAJOR_BE,151,150,115,35,0.7666666666666667,0.2285115303983304,0.13732011204418693,20.59801680662804,1.5885147659036583,5,7.778415044018994,1,0,116,115,0,35,0
2023,T1_FULL_TP1,144,144,101,43,0.7013888888888888,0.15210355987054963,-0.05336533205134683,-7.684607815393943,0.8212881903396757,3,10.026648050786187,0,0,101,101,0,43,0
2023,T2_FULL_TP2_FALLBACK_TP1,144,144,87,57,0.6041666666666666,0.3500000000000166,-0.08856149126272551,-12.752854741832474,0.7762657062836407,4,12.811614100612518,0,0,101,87,14,43,0
2023,T3_FULL_TP3_FALLBACK_HIGHEST,144,144,80,64,0.5555555555555556,0.42062937062939276,-0.10920199437287387,-15.725087189693836,0.7542955126610338,8,16.184551886269567,0,0,101,80,21,43,0
2023,T4_FULL_EXPANSION_FALLBACK_TP1,144,144,68,76,0.4722222222222222,0.5136452241715552,-0.191002937710925,-27.5044230303732,0.6380996969687738,7,27.504423030373207,0,0,101,68,33,43,0
2023,T5_FULL_H1_NEAREST_FALLBACK_TP1,144,144,76,68,0.5277777777777778,0.42569009937433167,-0.13700139873018802,-19.728201417147073,0.7098793909243076,6,20.05982662958566,0,0,101,76,25,43,0
2023,T6_FULL_MAJOR_NEAREST_FALLBACK_TP1,144,144,82,62,0.5694444444444444,0.42569009937433167,-0.11722138094407517,-16.879878855946824,0.7277438894202125,4,17.211504068385402,0,0,101,82,19,43,0
2023,R1_HALF_TP1_HALF_TP2_BE,144,136,93,43,0.6838235294117647,0.20121951219513703,-0.059130163807763966,-8.041702277855899,0.8129836679568394,3,9.289712618051443,8,0,101,93,0,43,0
2023,R2_HALF_TP1_HALF_MAJOR_BE,144,140,97,43,0.6928571428571428,0.16513761467887875,-0.054995517448099614,-7.699372442733946,0.8209448269131641,3,9.819389293912364,4,0,101,97,0,43,0
2024,T1_FULL_TP1,145,145,108,37,0.7448275862068966,0.22888534335591773,0.011793702698242672,1.7100868912451874,1.0462185646282485,4,8.053493337207367,0,0,108,108,0,37,0
