partition,dev_block,execution_start,entry_ts,parent_exit_ts,parent_exit_reason,mechanism,baseline_winner,baseline_pnl,baseline_pnl_5bps,triggered,snapshot_age_min,threshold,running_mae_R,exit_ts,exit_price,pnl,pnl_5bps,delta_pnl,delta_pnl_5bps,candidate_id
development,0,2022-01-01 15:00:00+00:00,2022-01-01 15:25:00+00:00,2022-01-01 15:50:00+00:00,FAILED_BREAK,M2_FAILED_BREAK,False,-0.2018803714598505,-0.4518803714598505,False,60,0.33667907471417136,,2022-01-01 15:50:00+00:00,173.3,-0.2018803714598505,-0.4518803714598505,0.0,0.0,A60_Q25
development,0,2022-01-02 15:00:00+00:00,2022-01-02 16:10:00+00:00,2022-01-02 16:20:00+00:00,FAILED_BREAK,M2_FAILED_BREAK,False,-0.622347949080615,-0.872347949080615,False,60,0.33667907471417136,,2022-01-02 16:20:00+00:00,176.53,-0.622347949080615,-0.872347949080615,0.0,0.0,A60_Q25
development,0,2022-01-04 15:00:00+00:00,2022-01-04 15:00:00+00:00,2022-01-04 15:20:00+00:00,FAILED_BREAK,M2_FAILED_BREAK,False,-0.9802225681831422,-1.2302225681831422,False,60,0.33667907471417136,,2022-01-04 15:20:00+00:00,173.09,-0.9802225681831422,-1.2302225681831422,0.0,0.0,A60_Q25
development,0,2022-01-06 15:00:00+00:00,2022-01-06 17:05:00+00:00,2022-01-06 17:15:00+00:00,FAILED_BREAK,M2_FAILED_BREAK,False,-1.0920643325170731,-1.3420643325170731,False,60,0.33667907471417136,,2022-01-06 17:15:00+00:00,150.76,-1.0920643325170731,-1.3420643325170731,0.0,0.0,A60_Q25
development,0,2022-01-09 15:00:00+00:00,2022-01-09 16:05:00+00:00,2022-01-09 16:50:00+00:00,TARGET,ECONOMIC_POSITIVE,True,4.63599631388667,4.38599631388667,False,60,0.33667907471417136,,2022-01-09 16:50:00+00:00,142.378,4.63599631388667,4.38599631388667,0.0,0.0,A60_Q25
development,0,2022-01-11 15:00:00+00:00,2022-01-11 15:05:00+00:00,2022-01-11 16:15:00+00:00,TARGET,ECONOMIC_POSITIVE,True,5.082407609090289,4.832407609090289,True,60,0.33667907471417136,0.5685714285714231,2022-01-11 16:05:00+00:00,137.72,-0.03630291149347986,-0.28630291149347986,-5.118710520583769,-5.118710520583769,A60_Q25
development,0,2022-01-12 15:00:00+00:00,2022-01-12 15:15:00+00:00,2022-01-12 15:35:00+00:00,FAILED_BREAK,M2_FAILED_BREAK,False,-1.4898083564705011,-1.7398083564705011,False,60,0.33667907471417136,,2022-01-12 15:35:00+00:00,147.23,-1.4898083564705011,-1.7398083564705011,0.0,0.0,A60_Q25
development,0,2022-01-14 15:00:00+00:00,2022-01-14 15:05:00+00:00,2022-01-14 15:15:00+00:00,FAILED_BREAK,ECONOMIC_POSITIVE,True,0.16969861525928387,-0.08030138474071613,False,60,0.33667907471417136,,2022-01-14 15:15:00+00:00,147.37,0.16969861525928387,-0.08030138474071613,0.0,0.0,A60_Q25
development,0,2022-01-15 15:00:00+00:00,2022-01-15 15:40:00+00:00,2022-01-15 15:50:00+00:00,TARGET,ECONOMIC_POSITIVE,True,4.087193460490468,3.837193460490468,False,60,0.33667907471417136,,2022-01-15 15:50:00+00:00,148.0,4.087193460490468,3.837193460490468,0.0,0.0,A60_Q25
development,0,2022-01-18 15:00:00+00:00,2022-01-18 21:10:00+00:00,2022-01-18 21:15:00+00:00,TARGET,ECONOMIC_POSITIVE,True,5.772987050567946,5.522987050567946,False,60,0.33667907471417136,,2022-01-18 21:15:00+00:00,139.826,5.772987050567946,5.522987050567946,0.0,0.0,A60_Q25
development,0,2022-01-19 15:00:00+00:00,2022-01-19 15:00:00+00:00,2022-01-20 02:55:00+00:00,TIME,M1_TIME_NO_STRUCTURAL_FAIL,False,-8.44460483579934,-8.69460483579934,True,60,0.33667907471417136,0.5150943396226438,2022-01-19 16:00:00+00:00,136.89,-5.990617105738116,-6.240617105738116,2.4539877300612245,2.4539877300612245,A60_Q25
development,0,2022-01-20 15:00:00+00:00,2022-01-20 15:00:00+00:00,2022-01-20 15:20:00+00:00,FAILED_BREAK,M2_FAILED_BREAK,False,-0.21141649048628253,-0.4614164904862825,False,60,0.33667907471417136,,2022-01-20 15:20:00+00:00,141.84,-0.21141649048628253,-0.4614164904862825,0.0,0.0,A60_Q25
development,0,2022-01-21 15:00:00+00:00,2022-01-21 17:00:00+00:00,2022-01-21 17:15:00+00:00,FAILED_BREAK,M2_FAILED_BREAK,False,-1.8696793698782521,-2.119679369878252,False,60,0.33667907471417136,,2022-01-21 17:15:00+00:00,125.22,-1.8696793698782521,-2.119679369878252,0.0,0.0,A60_Q25
development,0,2022-01-24 15:00:00+00:00,2022-01-24 17:50:00+00:00,2022-01-24 18:15:00+00:00,TARGET,ECONOMIC_POSITIVE,True,16.5909090909091,16.3409090909091,False,60,0.33667907471417136,,2022-01-24 18:15:00+00:00,90.92,16.5909090909091,16.3409090909091,0.0,0.0,A60_Q25
development,0,2022-01-25 15:00:00+00:00,2022-01-25 17:15:00+00:00,2022-01-25 17:25:00+00:00,TARGET,ECONOMIC_POSITIVE,True,9.570991883630198,9.320991883630198,False,60,0.33667907471417136,,2022-01-25 17:25:00+00:00,96.686,9.570991883630198,9.320991883630198,0.0,0.0,A60_Q25
development,0,2022-01-26 15:00:00+00:00,2022-01-26 19:00:00+00:00,2022-01-26 19:15:00+00:00,FAILED_BREAK,M2_FAILED_BREAK,False,-14.710208884966159,-14.960208884966159,False,60,0.33667907471417136,,2022-01-26 19:15:00+00:00,98.97,-14.710208884966159,-14.960208884966159,0.0,0.0,A60_Q25
development,0,2022-01-28 15:00:00+00:00,2022-01-28 15:50:00+00:00,2022-01-28 16:05:00+00:00,FAILED_BREAK,M2_FAILED_BREAK,False,-1.979762428508558,-2.2297624285085584,False,60,0.33667907471417136,,2022-01-28 16:05:00+00:00,90.56,-1.979762428508558,-2.2297624285085584,0.0,0.0,A60_Q25
development,0,2022-01-31 15:00:00+00:00,2022-01-31 15:00:00+00:00,2022-01-31 15:15:00+00:00,TARGET,ECONOMIC_POSITIVE,True,5.896328293736541,5.646328293736541,False,60,0.33667907471417136,,2022-01-31 15:15:00+00:00,93.692,5.896328293736541,5.646328293736541,0.0,0.0,A60_Q25
development,0,2022-02-01 15:00:00+00:00,2022-02-01 16:30:00+00:00,2022-02-01 16:45:00+00:00,FAILED_BREAK,M2_FAILED_BREAK,False,-0.7654899135446924,-1.0154899135446924,False,60,0.33667907471417136,,2022-02-01 16:45:00+00:00,110.87,-0.7654899135446924,-1.0154899135446924,0.0,0.0,A60_Q25
development,0,2022-02-03 15:00:00+00:00,2022-02-03 15:20:00+00:00,2022-02-03 21:50:00+00:00,TARGET,ECONOMIC_POSITIVE,True,10.16880622662486,9.91880622662486,True,60,0.33667907471417136,0.3578528827037795,2022-02-03 16:20:00+00:00,98.7,-1.162438087536688,-1.412438087536688,-11.331244314161548,-11.331244314161548,A60_Q25
development,0,2022-02-04 15:00:00+00:00,2022-02-04 15:15:00+00:00,2022-02-04 15:25:00+00:00,TARGET,ECONOMIC_POSITIVE,True,9.766136576239482,9.51613657623948,False,60,0.33667907471417136,,2022-02-04 15:25:00+00:00,108.988,9.766136576239482,9.51613657623948,0.0,0.0,A60_Q25
development,0,2022-02-05 15:00:00+00:00,2022-02-05 15:30:00+00:00,2022-02-05 15:45:00+00:00,FAILED_BREAK,M2_FAILED_BREAK,False,-0.644496004124806,-0.894496004124806,False,60,0.33667907471417136,,2022-02-05 15:45:00+00:00,116.22,-0.644496004124806,-0.894496004124806,0.0,0.0,A60_Q25
development,0,2022-02-07 15:00:00+00:00,2022-02-07 15:35:00+00:00,2022-02-07 15:45:00+00:00,FAILED_BREAK,M2_FAILED_BREAK,False,-0.8258320257659713,-1.0758320257659713,False,60,0.33667907471417136,,2022-02-07 15:45:00+00:00,120.89,-0.8258320257659713,-1.0758320257659713,0.0,0.0,A60_Q25
development,0,2022-02-08 15:00:00+00:00,2022-02-09 00:45:00+00:00,2022-02-09 01:05:00+00:00,FAILED_BREAK,M2_FAILED_BREAK,False,-0.3486750348675183,-0.5986750348675183,False,60,0.33667907471417136,,2022-02-09 01:05:00+00:00,114.64,-0.3486750348675183,-0.5986750348675183,0.0,0.0,A60_Q25
development,0,2022-02-12 15:00:00+00:00,2022-02-12 16:10:00+00:00,2022-02-12 16:40:00+00:00,TARGET,ECONOMIC_POSITIVE,True,5.38573508005824,5.13573508005824,False,60,0.33667907471417136,,2022-02-12 16:40:00+00:00,97.21600000000001,5.38573508005824,5.13573508005824,0.0,0.0,A60_Q25
development,0,2022-02-14 15:00:00+00:00,2022-02-15 01:25:00+00:00,2022-02-15 01:35:00+00:00,TARGET,ECONOMIC_POSITIVE,True,12.54084967320268,12.29084967320268,False,60,0.33667907471417136,,2022-02-15 01:35:00+00:00,100.376,12.54084967320268,12.29084967320268,0.0,0.0,A60_Q25
development,0,2022-02-15 15:00:00+00:00,2022-02-15 23:30:00+00:00,2022-02-15 23:40:00+00:00,TARGET,ECONOMIC_POSITIVE,True,5.98397838046516,5.73397838046516,False,60,0.33667907471417136,,2022-02-15 23:40:00+00:00,104.85,5.98397838046516,5.73397838046516,0.0,0.0,A60_Q25
development,0,2022-02-19 15:00:00+00:00,2022-02-19 16:05:00+00:00,2022-02-19 16:45:00+00:00,FAILED_BREAK,M2_FAILED_BREAK,False,-0.05481254110945022,-0.3048125411094502,False,60,0.33667907471417136,,2022-02-19 16:45:00+00:00,91.21,-0.05481254110945022,-0.3048125411094502,0.0,0.0,A60_Q25
development,0,2022-02-20 15:00:00+00:00,2022-02-20 17:40:00+00:00,2022-02-20 18:00:00+00:00,FAILED_BREAK,M2_FAILED_BREAK,False,-0.16487140030774228,-0.4148714003077423,False,60,0.33667907471417136,,2022-02-20 18:00:00+00:00,90.95,-0.16487140030774228,-0.4148714003077423,0.0,0.0,A60_Q25
