candidate_id,dev_block,n,delta_net,delta_net_5bps
A60_Q25,0,85,5.156064807931681,5.156064807931681
A60_Q25,1,105,-10.035848962340502,-10.035848962340499
A60_Q25,2,111,-20.53648985040152,-20.53648985040152
A60_Q25,3,94,10.974338954423184,10.974338954423182
A60_Q25,4,103,74.19256263127204,74.19256263127204
A60_Q25,5,103,-30.733995122098065,-30.733995122098065
A60_Q50,0,85,7.465342241993745,7.465342241993745
A60_Q50,1,105,-3.31813173525447,-3.31813173525447
A60_Q50,2,111,-7.364215527606689,-7.364215527606689
A60_Q50,3,94,22.915928074949854,22.915928074949857
A60_Q50,4,103,34.310141273800554,34.310141273800554
A60_Q50,5,103,-4.0198330955164,-4.019833095516402
A60_Q75,0,85,0.0,0.0
A60_Q75,1,105,0.0,0.0
A60_Q75,2,111,2.910970105318267,2.910970105318267
A60_Q75,3,94,10.173873947295633,10.173873947295633
A60_Q75,4,103,34.310141273800554,34.310141273800554
A60_Q75,5,103,-5.073290479713831,-5.073290479713831
A120_Q25,0,85,15.457358776826137,15.457358776826133
A120_Q25,1,105,17.911718689764374,17.911718689764378
A120_Q25,2,111,-2.8555542909200504,-2.855554290920054
A120_Q25,3,94,6.067211877480105,6.0672118774801085
A120_Q25,4,103,35.19132406723513,35.19132406723513
A120_Q25,5,103,14.522428300795088,14.522428300795088
A120_Q50,0,85,0.0,0.0
A120_Q50,1,105,0.840098028717482,0.8400980287174837
A120_Q50,2,111,-0.07387417626952875,-0.07387417626952875
A120_Q50,3,94,15.719860815843255,15.719860815843257
A120_Q50,4,103,28.429782276301495,28.429782276301495
A120_Q50,5,103,1.0882584165742841,1.0882584165742841
A120_Q75,0,85,0.0,0.0
A120_Q75,1,105,0.840098028717482,0.8400980287174837
A120_Q75,2,111,5.95277032772945,5.95277032772945
A120_Q75,3,94,1.0227011914046855,1.0227011914046837
A120_Q75,4,103,13.667385759522698,13.667385759522698
A120_Q75,5,103,1.0882584165742841,1.0882584165742841
